model,pretty_name,SingleOp,SingleQ,MultiArith,SVAMP,GSM8K,MMLU-Math,BBHDeduction,BBHCounting,BBHNavigate,HotpotQA,SQuAD,DROP,Winograd-WSC
Qwen3-8B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,97.35849056603773,94.40298507462687,93.63295880149812,98.5,88.94736842105263,94.0,96.68508287292818,92.54658385093167,80.38277511961722,74.87179487179488
Qwen3-8B,MXFP4-RTN-H,100.0,99.0,98.82352941176471,95.84905660377359,92.91044776119402,89.8876404494382,98.0,84.73684210526315,92.0,92.81767955801105,87.5776397515528,82.29665071770334,69.23076923076923
Qwen3-8B,Qwen3-8B-BF16,99.33333333333333,100.0,100.0,97.35849056603773,97.38805970149254,95.88014981273409,97.5,93.6842105263158,91.5,97.79005524861878,93.7888198757764,93.30143540669856,82.56410256410255
Qwen3-8B,NVFP4-RTN-I,100.0,100.0,98.82352941176471,95.84905660377359,97.01492537313433,89.13857677902621,99.5,90.0,91.5,97.23756906077348,92.54658385093167,82.77511961722487,77.43589743589745
Qwen3-8B,NVFP4-RTN-I,99.33333333333333,99.0,99.41176470588235,97.73584905660377,97.38805970149254,91.38576779026218,99.0,90.0,96.0,96.13259668508287,94.40993788819875,87.08133971291866,78.46153846153847
Qwen3-8B,MXFP4-RTN-H,99.33333333333333,100.0,97.05882352941177,95.84905660377359,91.4179104477612,89.51310861423221,98.5,85.78947368421052,93.0,95.02762430939227,88.81987577639751,83.73205741626795,72.82051282051283
Qwen3-8B,MXFP4-RTN-H,99.33333333333333,100.0,98.23529411764706,96.60377358490567,94.40298507462687,89.8876404494382,98.0,85.78947368421052,95.5,97.23756906077348,88.81987577639751,85.16746411483254,75.38461538461539
Qwen3-8B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,97.73584905660377,97.01492537313433,93.25842696629213,99.0,88.42105263157895,91.5,96.68508287292818,91.30434782608697,88.03827751196172,77.43589743589745
Qwen3-8B,MXFP4-GPTQ-WUSH,100.0,100.0,98.82352941176471,95.84905660377359,97.01492537313433,93.25842696629213,99.5,93.6842105263158,93.5,94.47513812154696,93.16770186335404,83.73205741626795,76.92307692307692
Qwen3-8B,MXFP4-GPTQ-WUSH,100.0,100.0,98.82352941176471,97.35849056603773,96.26865671641791,92.13483146067416,98.0,85.26315789473684,91.5,97.79005524861878,93.7888198757764,90.43062200956938,76.41025641025641
Qwen3-8B,MXFP4-GPTQ-WUSH,100.0,98.0,100.0,95.09433962264151,97.01492537313433,92.13483146067416,99.0,86.31578947368422,93.0,96.13259668508287,92.54658385093167,88.99521531100478,77.43589743589745
Qwen3-8B,MXFP4-GPTQ-WUSH,100.0,100.0,98.82352941176471,96.98113207547169,96.64179104477611,92.88389513108615,99.5,86.31578947368422,93.5,96.68508287292818,92.54658385093167,84.21052631578947,76.92307692307692
Qwen3-8B,MXFP4-GPTQ-WUSH,100.0,100.0,98.82352941176471,96.60377358490567,95.8955223880597,92.88389513108615,98.5,83.68421052631578,91.5,96.68508287292818,92.54658385093167,92.82296650717703,70.76923076923076
Qwen3-8B,NVFP4-GPTQ-WUSH,100.0,100.0,98.23529411764706,97.35849056603773,97.38805970149254,94.00749063670412,99.5,90.52631578947368,93.0,96.68508287292818,92.54658385093167,88.99521531100478,74.35897435897436
Qwen3-8B,NVFP4-GPTQ-WUSH,99.33333333333333,99.0,98.82352941176471,97.35849056603773,97.01492537313433,94.3820224719101,99.0,86.31578947368422,93.5,97.79005524861878,91.30434782608697,88.99521531100478,76.92307692307692
Qwen3-8B,NVFP4-GPTQ-WUSH,99.33333333333333,100.0,99.41176470588235,96.98113207547169,95.52238805970148,93.25842696629213,99.0,85.78947368421052,91.5,96.68508287292818,90.06211180124224,88.99521531100478,73.33333333333334
Qwen3-8B,NVFP4-GPTQ-WUSH,99.33333333333333,99.0,99.41176470588235,97.73584905660377,97.01492537313433,92.50936329588015,99.5,86.8421052631579,91.0,96.13259668508287,95.03105590062113,86.1244019138756,77.94871794871796
Qwen3-8B,NVFP4-GPTQ-WUSH,100.0,99.0,99.41176470588235,97.35849056603773,98.13432835820896,95.13108614232209,98.5,90.52631578947368,94.0,97.79005524861878,92.54658385093167,91.38755980861244,79.48717948717949
Qwen3-8B,MXFP4-GPTQ-H,99.33333333333333,100.0,98.82352941176471,96.98113207547169,94.02985074626866,93.25842696629213,98.5,88.42105263157895,90.5,97.23756906077348,90.06211180124224,85.16746411483254,75.8974358974359
Qwen3-8B,MXFP4-GPTQ-H,100.0,100.0,99.41176470588235,95.09433962264151,95.52238805970148,93.25842696629213,100.0,85.78947368421052,95.5,95.02762430939227,88.81987577639751,87.08133971291866,75.38461538461539
Qwen3-8B,MXFP4-GPTQ-H,99.33333333333333,100.0,99.41176470588235,96.98113207547169,94.40298507462687,92.13483146067416,98.5,84.73684210526315,90.0,95.58011049723757,89.44099378881988,87.08133971291866,73.33333333333334
Qwen3-8B,MXFP4-GPTQ-H,99.33333333333333,99.0,99.41176470588235,96.22641509433963,95.1492537313433,91.76029962546816,98.0,83.68421052631578,90.0,96.13259668508287,89.44099378881988,87.08133971291866,76.92307692307692
Qwen3-8B,MXFP4-GPTQ-H,100.0,100.0,99.41176470588235,96.98113207547169,93.28358208955224,91.38576779026218,99.0,87.89473684210526,93.5,96.68508287292818,90.06211180124224,87.08133971291866,74.35897435897436
Qwen3-8B,NVFP4-GPTQ-H,100.0,100.0,99.41176470588235,96.98113207547169,95.52238805970148,93.63295880149812,99.0,81.57894736842105,93.5,96.68508287292818,91.92546583850931,90.9090909090909,80.0
Qwen3-8B,NVFP4-GPTQ-H,100.0,98.0,100.0,96.98113207547169,96.64179104477611,94.7565543071161,98.5,85.26315789473684,94.0,96.68508287292818,92.54658385093167,87.08133971291866,81.02564102564102
Qwen3-8B,NVFP4-GPTQ-H,100.0,100.0,99.41176470588235,97.35849056603773,95.1492537313433,94.3820224719101,98.0,87.89473684210526,93.5,96.68508287292818,93.7888198757764,89.95215311004785,80.51282051282051
Qwen3-8B,NVFP4-GPTQ-H,100.0,100.0,98.23529411764706,96.60377358490567,95.52238805970148,92.13483146067416,99.5,87.36842105263159,95.0,97.23756906077348,93.16770186335404,88.51674641148325,80.0
Qwen3-8B,NVFP4-GPTQ-H,100.0,99.0,98.23529411764706,98.11320754716981,97.38805970149254,92.88389513108615,100.0,86.31578947368422,93.0,97.79005524861878,90.6832298136646,87.5598086124402,78.46153846153847
Qwen3-8B,MXFP4-RTN-WUSH,100.0,100.0,99.41176470588235,97.35849056603773,95.52238805970148,94.3820224719101,100.0,87.89473684210526,88.5,95.02762430939227,88.81987577639751,84.21052631578947,75.8974358974359
Qwen3-8B,NVFP4-RTN-WUSH,100.0,100.0,99.41176470588235,97.35849056603773,96.64179104477611,95.50561797752809,100.0,91.57894736842105,93.0,96.13259668508287,90.06211180124224,88.99521531100478,78.97435897435898
Qwen3-8B,NVFP4-RTN-WUSH,100.0,100.0,98.23529411764706,96.98113207547169,96.64179104477611,94.00749063670412,99.5,87.89473684210526,95.0,96.13259668508287,93.7888198757764,92.34449760765551,75.8974358974359
Qwen3-8B,NVFP4-RTN-WUSH,99.33333333333333,99.0,100.0,96.60377358490567,96.26865671641791,92.88389513108615,99.5,88.42105263157895,91.0,96.13259668508287,92.54658385093167,89.95215311004785,75.38461538461539
Qwen3-8B,NVFP4-RTN-WUSH,100.0,100.0,100.0,96.98113207547169,94.77611940298507,93.25842696629213,99.0,88.94736842105263,90.5,95.58011049723757,91.92546583850931,88.03827751196172,76.92307692307692
Qwen3-8B,NVFP4-RTN-WUSH,100.0,100.0,99.41176470588235,96.60377358490567,96.26865671641791,90.2621722846442,99.5,85.78947368421052,93.0,96.68508287292818,91.30434782608697,90.9090909090909,76.41025641025641
Qwen3-8B,MXFP4-RTN-WUSH,100.0,100.0,99.41176470588235,96.60377358490567,95.52238805970148,92.13483146067416,100.0,86.31578947368422,86.5,97.23756906077348,86.95652173913044,91.86602870813397,76.92307692307692
Qwen3-8B,MXFP4-RTN-WUSH,98.66666666666667,99.0,98.23529411764706,96.22641509433963,95.1492537313433,91.01123595505618,99.5,86.31578947368422,92.5,97.23756906077348,90.06211180124224,87.08133971291866,78.97435897435898
Qwen3-8B,MXFP4-RTN-WUSH,98.0,98.0,98.82352941176471,97.35849056603773,95.1492537313433,94.3820224719101,98.5,90.0,89.5,94.47513812154696,91.92546583850931,80.86124401913875,75.8974358974359
Qwen3-8B,MXFP4-RTN-WUSH,99.33333333333333,99.0,98.82352941176471,96.60377358490567,97.38805970149254,88.76404494382022,97.5,88.94736842105263,94.0,97.23756906077348,95.03105590062113,85.16746411483254,77.94871794871796
Qwen3-14B,MXFP4-RTN-H,100.0,100.0,99.41176470588235,98.11320754716981,97.01492537313433,92.88389513108615,100.0,84.73684210526315,95.5,96.68508287292818,94.40993788819875,90.9090909090909,84.1025641025641
Qwen3-14B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,98.11320754716981,96.64179104477611,96.25468164794007,98.5,85.78947368421052,93.0,96.13259668508287,84.472049689441,87.5598086124402,85.12820512820512
Qwen3-14B,MXFP4-RTN-WUSH,100.0,100.0,98.82352941176471,98.11320754716981,96.26865671641791,95.13108614232209,100.0,87.89473684210526,94.5,97.23756906077348,89.44099378881988,90.43062200956938,85.12820512820512
